Mods count: 297
 
                                           jar name                                             |    notes     |                mod id                |                                   mod name                                   |       mod version        |                                                                                                                                                                                                                                  mixin configs                                                                                                                                                                                                                                  |              modrinth hash               | curseforge hash
cloth-config-15.0.140-neoforge.jar                                                              |              | cloth_config                         | Cloth Config v15 API                                                         | 15.0.140                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | c3e5733ba4503b102589a026000fd5ce0212f6f2 | 1440957232     
coinsje-neoforge-1.21.1-21.1.2.jar                                                              |              | coinsje                              | Coins                                                                        | 21.1.2                   | coinsje.mixins.json, coinsje.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                               | aedd911e2238fbcfb435b0533d3eb95f71735a4e | 2174036834     
collective-1.21.1-8.39.jar                                                                      |              | collective                           | Collective                                                                   | 8.39                     | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_neoforge.mixins.json, collective_forge.mixins.json                                                                                                                                                                                                                                                                                                                                                | b1153f03c97bccaa6bc11d6199f07f16ef4318ff | 1175409389     
comforts-neoforge-9.0.5+1.21.1.jar                                                              |              | comforts                             | Comforts                                                                     | 9.0.5+1.21.1             | comforts.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 21d6bee3821d62fe3356c51fb1d697871a3087ff | 2832161208     
    /META-INF/jarjar/spectrelib-neoforge-0.17.2+1.21.jar                                        |              | spectrelib                           | SpectreLib                                                                   | 0.17.2+1.21              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
connectivity-1.21.1-7.6.jar                                                                     |              | connectivity                         | Connectivity Mod                                                             | 7.6                      | connectivity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 6adebe84f745dec8fa33bc3982383bc1cc24d49e | 1642034907     
ConstructionSticks-1.21.1-1.4.1.jar                                                             |              | constructionstick                    | Construction Sticks                                                          | 1.4.1                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 05286f794c9b14d43259c41aaa0aa544a70dd7d7 | 4125569112     
Controlling-neoforge-1.21.1-19.0.5.jar                                                          |              | controlling                          | Controlling                                                                  | 19.0.5                   | controlling.mixins.json, controlling.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                       | 8a34424fc1428778be2fdbfa4da67b21b70bcbfe | 1306717928     
    /META-INF/jarjar/app.jar                                                                    |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
cratedelight-26.07.01-1.21-neoforge.jar                                                         |              | cratedelight                         | Crate Delight                                                                | 26.07.01-1.21-neoforge   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 23522b85b799a781ac9b3a60aa7dafd65bd3bc23 | 4039882327     
create-1.21.1-6.0.10.jar                                                                        |              | create                               | Create                                                                       | 6.0.10                   | create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0e97e49837bed766e6f28a4c95b04885d6acc353 | 522093599      
    /META-INF/jarjar/Registrate-MC1.21-1.3.0+67.jar                                             |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
create-aeronautics-bundled-1.21.1-1.3.0.jar                                                     |              | aeronautics_bundled                  | Create Aeronautics                                                           | 1.3.0                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | a2b08963ebc9f331f52c626aebcd65013e100d69 | 2810125270     
    /META-INF/jarjar/dev.eriksonn.aeronautics.aeronautics-neoforge-1.21.1-1.3.0.jar             |              | aeronautics                          | Create Aeronautics                                                           | 1.3.0                    | aeronautics.mixins.json, aeronautics.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
create-stuff-additions1.21.1_v2.1.4a.jar                                                        | MCreator mod | create_sa                            | Create Stuff 'N Additions                                                    | 2.1.4.                   | mixins.create_sa.json                                                                                                                                                                                                                                                                                                                                                                                                                                                           | cb0ab0117feba62a2ae04baa4dc754363c4eacc4 | 1627082231     
CreativeCore_NEOFORGE_v2.13.41_mc1.21.1.jar                                                     |              | creativecore                         | CreativeCore                                                                 | 2.13.41                  | creativecore.mixins.json, creativecore.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                        | 4b666b4668b77fdc1ac34a183aae58a432999970 | 3043399915     
cultofazazelneoforge-1.1.4.9a.jar                                                               |              | netherman                            | Cult of Azazel                                                               | 1.1.4.9a                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | ffd5e9518e1fe0240e6acd3de83474aa6781fa1e | 4068225233     
cupboard-1.21.1-3.8.jar                                                                         |              | cupboard                             | Cupboard mod                                                                 | 3.8                      | cupboard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 39df849e5a338dfe9ccb7632b1849c20357e597b | 843677085      
curios-neoforge-9.5.1+1.21.1.jar                                                                |              | curios                               | Curios API                                                                   | 9.5.1+1.21.1             | curios.neoforge.mixins.json, curios.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                 | 418fcd42e3a7844c9bdc71c9b6401fdb3894e0c4 | 933317947      
dawnoftimebuilder-neoforge-1.21.1-1.6.6.jar                                                     |              | dawnoftimebuilder                    | Dawn Of Time                                                                 | 1.6.6                    | dawnoftimebuilder.mixins.json, dawnoftimebuilder.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                           | e738eb11a0073e676914c166d7cfe7c09ce5bc0f | 3771927661     
delightfulcreators-1.2.jar                                                                      |              | delightfulcreators                   | Delightful Creators                                                          | 1.2                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 7e98154dcea3d83cb83b8d71eb3671a27359508c | 4118790422     
